order,date,entrance_choreography,traditional_dance_1,traditional_dance_2,traditional_dance_3,exit_choreography,birivas_dances_1,birivas_dances_2,birivas_dances_3
10,2024-11-16,Vitrola,Anu,Tatu de Castanholhas,Maçanico,Esse é o nosso lema,Chula,Boleadeiras,
9,2024-11-16,De tanto pelear,Tatu de Castanholas,Balaio,,De tanto pelear/Grupo Rodeio,,,
8,2024-11-16,,Pot-porri de danças tradicionais,,,,Danças dos Facões,,
7,2024-11-16,???,Chote de Duas Damas,Tatú de Castanholata,Valsa de Mão Trocada,???,,,
6,2024-11-16,Chacarera,Caranguejo,Chimarrita,Tatu de Castanholas,,,,
5,2024-11-16,O canto do Carreteiro,Balaio,Tatu de Castanhola,,,,,
4,2024-11-15,Romance de Além Mar,Chico Sapateado,Chimarrita,Meia-Canha,Batismo de Fogo,,,
3,2024-11-15,Eu o baio e o temporal,Rancheira de Carreirinha,Anú,,Paleteada,Danças dos Facões,Chico do Porrete,
2,2024-11-15,???,Sarrabalho,Chote de Duas Damas,,???,,,
1,2024-11-15,Estação de Lembranças,Balaio,Quero Mana,Chote Carreirinho,,,,
